evNum	picoTimeMs	adcAtEvent	rateOverall 
1001	882202	38	1.13
1002	883126	108	1.13
1003	883462	34	1.14
1004	883527	45	1.14
1005	883920	47	1.14
1006	884219	45	1.14
1007	884388	34	1.14
1008	885094	31	1.14
1009	885933	34	1.14
1010	886919	86	1.14
1011	887051	61	1.14
1012	887952	48	1.14
1013	888750	159	1.14
1014	889413	31	1.14
1015	889589	35	1.14
1016	890680	180	1.14
1017	892253	61	1.14
1018	895879	97	1.14
1019	895973	44	1.14
1020	897380	30	1.14
1021	897670	39	1.14
1022	897694	70	1.14
1023	898156	70	1.14
1024	898717	47	1.14
1025	899366	64	1.14
1026	899937	170	1.14
1027	901843	35	1.14
1028	903299	38	1.14
1029	905189	47	1.14
1030	905626	37	1.14
1031	908040	74	1.14
1032	909776	36	1.13
1033	909865	31	1.14
1034	911401	59	1.13
1035	912125	33	1.13
1036	914316	46	1.13
1037	914835	31	1.13
1038	914952	31	1.13
1039	915298	32	1.14
1040	915396	154	1.14
1041	915687	58	1.14
1042	915798	86	1.14
1043	918732	64	1.14
1044	921561	36	1.13
1045	921713	45	1.13
1046	922778	57	1.13
1047	923108	147	1.13
1048	923355	31	1.13
1049	924754	96	1.13
1050	925111	34	1.13
1051	925490	104	1.14
1052	925826	79	1.14
1053	926326	38	1.14
1054	926376	35	1.14
1055	926868	32	1.14
1056	927241	146	1.14
1057	927366	38	1.14
1058	928489	33	1.14
1059	929096	113	1.14
1060	929266	62	1.14
1061	930574	42	1.14
1062	930908	41	1.14
1063	931908	65	1.14
1064	932809	76	1.14
1065	934524	80	1.14
1066	934663	39	1.14
1067	934833	101	1.14
1068	935949	33	1.14
1069	936426	168	1.14
1070	937107	52	1.14
1071	938237	34	1.14
1072	938669	51	1.14
1073	939655	256	1.14
1074	941488	178	1.14
1075	941777	57	1.14
1076	943094	52	1.14
1077	943506	62	1.14
1078	944452	32	1.14
1079	946103	55	1.14
1080	947609	35	1.14
1081	947865	37	1.14
1082	948305	46	1.14
1083	949072	44	1.14
1084	950075	34	1.14
1085	951603	35	1.14
1086	951927	48	1.14
1087	951964	36	1.14
1088	954329	33	1.14
1089	954394	89	1.14
1090	955619	114	1.14
1091	957583	40	1.14
1092	959117	77	1.14
1093	959533	62	1.14
1094	959611	34	1.14
1095	959919	39	1.14
1096	960729	41	1.14
1097	961425	42	1.14
1098	962101	47	1.14
1099	963295	30	1.14
1100	963598	63	1.14
1101	963952	64	1.14
1102	964594	59	1.14
1103	966072	61	1.14
1104	966282	89	1.14
1105	967388	43	1.14
1106	968056	42	1.14
1107	970444	79	1.14
1108	972014	36	1.14
1109	973087	61	1.14
1110	974716	57	1.14
1111	975682	31	1.14
1112	976218	30	1.14
1113	978188	258	1.14
1114	978452	79	1.14
1115	978599	40	1.14
1116	978656	32	1.14
1117	978723	36	1.14
1118	978744	56	1.14
1119	980966	52	1.14
1120	982609	35	1.14
1121	983269	42	1.14
1122	983717	49	1.14
1123	985551	62	1.14
1124	989038	45	1.14
1125	990181	37	1.14
1126	990341	44	1.14
1127	990528	123	1.14
1128	991232	31	1.14
1129	991621	30	1.14
1130	991867	72	1.14
1131	991992	124	1.14
1132	994327	39	1.14
1133	995333	348	1.14
1134	996273	32	1.14
1135	996574	36	1.14
1136	997840	34	1.14
1137	998566	57	1.14
1138	998770	62	1.14
1139	999426	102	1.14
1140	1000008	123	1.14
1141	1000516	228	1.14
1142	1001011	75	1.14
1143	1001738	34	1.14
1144	1002791	126	1.14
1145	1005196	44	1.14
1146	1007601	32	1.14
1147	1008073	338	1.14
1148	1008673	88	1.14
