evNum	TimeMs	adcAtEvent	rateOverall
888	746411	83	1.19
889	746570	33	1.19
890	747660	71	1.19
891	749459	226	1.19
892	751068	48	1.19
893	751195	51	1.19
894	755327	98	1.18
895	756995	49	1.18
896	757070	56	1.18
897	759405	70	1.18
898	761088	119	1.18
899	761168	78	1.18
900	761206	40	1.18
901	762351	35	1.18
902	763283	48	1.18
903	763481	50	1.18
904	763605	30	1.18
905	765108	51	1.18
906	765450	44	1.18
907	766442	54	1.18
908	766493	52	1.18
909	767908	33	1.18
910	770678	47	1.18
911	771369	68	1.18
912	771756	55	1.18
913	772803	38	1.18
914	773548	37	1.18
915	774381	31	1.18
916	776556	32	1.18
917	777751	34	1.18
918	778858	46	1.18
919	780475	62	1.18
920	780755	64	1.18
921	780958	54	1.18
922	782910	89	1.18
923	784203	56	1.18
924	785164	256	1.18
925	785193	43	1.18
926	785312	85	1.18
927	785859	35	1.18
928	788467	53	1.18
929	790955	45	1.17
930	793010	30	1.17
931	793106	38	1.17
932	793128	50	1.18
933	793337	125	1.18
934	796959	32	1.17
935	797767	30	1.17
936	798407	67	1.17
937	798467	30	1.17
938	798622	111	1.17
939	799004	30	1.18
940	801485	102	1.17
941	802133	70	1.17
942	803926	361	1.17
943	803969	43	1.17
944	804596	100	1.17
945	804822	32	1.17
946	806472	43	1.17
947	806832	56	1.17
948	806878	32	1.17
949	808243	36	1.17
950	808322	187	1.18
951	810826	53	1.17
952	811314	41	1.17
953	811350	30	1.17
954	811505	30	1.18
955	811888	45	1.18
956	812503	35	1.18
957	812577	37	1.18
958	812859	39	1.18
959	813959	35	1.18
960	816751	47	1.18
961	817396	31	1.18
962	817742	33	1.18
963	817915	49	1.18
964	823847	39	1.17
965	824412	48	1.17
966	824804	49	1.17
967	826048	31	1.17
968	826232	33	1.17
969	827643	77	1.17
970	828135	34	1.17
971	828360	51	1.17
972	830856	46	1.17
973	831031	279	1.17
974	831446	36	1.17
975	831503	36	1.17
976	831772	50	1.17
977	832032	33	1.17
978	832826	34	1.17
979	832841	45	1.18
980	834475	34	1.17
981	834504	83	1.18
982	835422	39	1.18
983	835608	58	1.18
984	839905	90	1.17
985	840968	36	1.17
986	842194	38	1.17
987	843611	40	1.17
988	846773	35	1.17
989	847139	44	1.17
990	847644	64	1.17
991	847727	84	1.17
992	848584	116	1.17
993	848763	103	1.17
994	849948	46	1.17
995	852341	35	1.17
996	853304	58	1.17
997	853330	72	1.17
998	853801	59	1.17
999	854055	42	1.17
1000	855526	37	1.17
1001	855670	38	1.17
1002	856672	35	1.17
1003	857316	46	1.17
1004	857666	55	1.17
1005	858175	90	1.17
1006	858974	64	1.17
1007	859022	86	1.17
1008	863362	41	1.17
1009	864260	70	1.17
1010	864792	146	1.17
1011	867106	66	1.17
1012	868477	79	1.17
1013	869550	82	1.16
1014	870613	94	1.16
1015	871338	338	1.16
1016	871921	106	1.17
1017	873471	360	1.16
1018	873506	32	1.17
1019	873577	57	1.17
1020	874490	98	1.17
1021	874841	40	1.17
1022	875343	39	1.17
1023	875373	40	1.17
1024	876382	155	1.17
1025	876451	58	1.17
1026	877939	31	1.17
1027	878742	132	1.17
1028	879615	31	1.17
1029	879886	82	1.17
1030	880887	42	1.17
1031	882931	87	1.17
1032	888234	72	1.16
1033	889434	65	1.16
1034	889879	117	1.16
1035	889928	30	1.16
1036	889965	44	1.16
1037	890454	73	1.16
1038	892854	36	1.16
1039	893283	51	1.16
1040	893748	227	1.16
1041	895549	68	1.16
1042	895836	62	1.16
1043	895897	83	1.16
1044	896283	41	1.16
1045	896384	40	1.17
1046	896456	40	1.17
1047	897043	36	1.17
1048	898867	43	1.17
1049	899840	70	1.17
1050	900913	32	1.17
1051	904313	65	1.16
1052	905716	89	1.16
1053	906794	36	1.16
1054	907147	63	1.16
1055	911391	70	1.16
1056	912077	90	1.16
1057	912433	105	1.16
1058	913602	151	1.16
1059	914852	108	1.16
1060	915710	50	1.16
1061	915936	52	1.16
1062	920432	47	1.15
1063	921222	66	1.15
1064	921419	87	1.15
1065	921489	125	1.16
1066	921946	38	1.16
1067	922431	41	1.16
1068	922537	112	1.16
1069	922729	32	1.16
1070	922830	44	1.16
1071	923596	43	1.16
1072	924790	143	1.16
1073	924824	100	1.16
1074	925168	131	1.16
1075	928836	91	1.16
