evNum	picoTimeMs	adcAtEvent	rateOverall
1215	610590	107	1.99
1216	610882	105	1.99
1217	611612	30	1.99
1218	612430	20	1.99
1219	612583	29	1.99
1220	612710	66	1.99
1221	612902	26	1.99
1222	613322	28	1.99
1223	613460	27	1.99
1224	614277	34	1.99
1225	614344	21	1.99
1226	616371	31	1.99
1227	617456	21	1.99
1228	618545	29	1.99
1229	619384	42	1.98
1230	619729	25	1.98
1231	620023	79	1.99
1232	620925	54	1.98
1233	621071	27	1.99
1234	621447	69	1.99
1235	622524	36	1.98
1236	623185	44	1.98
1237	623612	107	1.98
1238	623662	31	1.99
1239	623763	22	1.99
