evNum	picoTimeMs	adcAtEvent	rateOverall
898	467642	57	1.92
899	468437	22	1.92
900	468655	35	1.92
901	469465	29	1.92
902	469960	26	1.92
903	470937	103	1.92
904	472050	22	1.92
905	473237	21	1.91
906	474440	138	1.91
907	474832	56	1.91
908	474901	40	1.91
909	475156	23	1.91
910	475318	123	1.91
911	477317	38	1.91
912	478200	29	1.91
913	479731	65	1.90
914	480424	23	1.90
915	480482	124	1.90
916	480542	58	1.91
917	480595	92	1.91
918	481440	33	1.91
919	481483	23	1.91
920	481585	37	1.91
921	481706	27	1.91
922	481916	150	1.91
923	482264	204	1.91
924	482900	28	1.91
925	482953	51	1.92
926	483600	62	1.91
927	484050	105	1.92
928	484490	29	1.92
929	485067	55	1.92
930	485910	24	1.91
931	486298	85	1.91
932	486409	30	1.92
933	486800	34	1.92
934	487661	45	1.92
935	487951	23	1.92
936	488536	22	1.92
937	488955	32	1.92
938	490467	26	1.91
939	490900	101	1.91
940	491689	94	1.91
941	492732	28	1.91
942	493712	54	1.91
943	494444	48	1.91
944	494615	29	1.91
945	494851	24	1.91
946	495650	35	1.91
947	495747	28	1.91
948	496112	21	1.91
949	496833	24	1.91
950	497329	22	1.91
951	501040	41	1.90
952	502049	25	1.90
953	502298	26	1.90
954	504670	41	1.89
955	504759	30	1.89
956	505274	99	1.89
957	505819	27	1.89
958	505933	28	1.89
959	506242	20	1.89
960	506518	41	1.90
961	506555	161	1.90
962	506835	25	1.90
963	507124	65	1.90
964	507550	44	1.90
965	507653	32	1.90
966	508856	79	1.90
967	509535	77	1.90
968	509602	101	1.90
969	510318	35	1.90
970	510575	50	1.90
971	510653	30	1.90
972	511605	24	1.90
973	511942	46	1.90
974	512057	24	1.90
975	512238	38	1.90
976	512810	48	1.90
977	512969	33	1.90
978	514202	78	1.90
979	514384	20	1.90
980	515232	34	1.90
981	515546	24	1.90
982	515639	20	1.90
983	515841	173	1.91
984	515899	37	1.91
985	516233	37	1.91
986	516403	68	1.91
987	517275	53	1.91
988	517568	50	1.91
989	518384	21	1.91
990	518684	41	1.91
991	518759	42	1.91
992	518840	49	1.91
993	519086	30	1.91
994	519383	122	1.91
995	520067	74	1.91
996	520107	233	1.91
997	520127	49	1.92
998	520298	24	1.92
999	520434	47	1.92
1000	522482	58	1.91
1001	522523	32	1.92
1002	522920	34	1.92
1003	522936	315	1.92
1004	523611	36	1.92
1005	524206	27	1.92
1006	525461	63	1.91
1007	525536	32	1.92
1008	526505	24	1.91
1009	526904	79	1.91
1010	527850	20	1.91
1011	530550	63	1.91
1012	531799	34	1.90
1013	532488	20	1.90
1014	533504	31	1.90
1015	533845	358	1.90
1016	534088	46	1.90
1017	534595	57	1.90
1018	535362	21	1.90
1019	535379	106	1.90
1020	535409	27	1.91
1021	535545	26	1.91
1022	536076	24	1.91
1023	536883	27	1.91
1024	537529	101	1.91
1025	537806	41	1.91
1026	537916	54	1.91
1027	538657	127	1.91
1028	540424	38	1.90
1029	540495	29	1.90
1030	541357	64	1.90
1031	541843	29	1.90
1032	542279	49	1.90
1033	542444	56	1.90
1034	543005	22	1.90
1035	543681	30	1.90
1036	543757	52	1.91
1037	544935	22	1.90
1038	545582	25	1.90
1039	545941	25	1.90
1040	546076	37	1.90
1041	546249	21	1.91
1042	546566	20	1.91
1043	546625	42	1.91
1044	547825	21	1.91
1045	548703	24	1.90
1046	548787	36	1.91
1047	549631	27	1.90
1048	549934	274	1.91
1049	550308	202	1.91
1050	552324	26	1.90
1051	552657	21	1.90
1052	552874	51	1.90
1053	553244	46	1.90
1054	553514	32	1.90
1055	554421	53	1.90
1056	554657	30	1.90
1057	556066	33	1.90
1058	556132	42	1.90
1059	556391	112	1.90
1060	558136	38	1.90
1061	558538	20	1.90
1062	558576	46	1.90
1063	558960	22	1.90
1064	559666	29	1.90
1065	560634	31	1.90
1066	560878	36	1.90
1067	561455	63	1.90
1068	561927	25	1.90
1069	562170	29	1.90
1070	562541	37	1.90
1071	563167	27	1.90
1072	563610	101	1.90
1073	564416	28	1.90
1074	564508	20	1.90
1075	564531	57	1.90
1076	564688	78	1.91
1077	565432	31	1.90
1078	566368	33	1.90
1079	567942	27	1.90
1080	569189	21	1.90
1081	569988	25	1.90
1082	570117	31	1.90
1083	570957	22	1.90
1084	572517	46	1.89
1085	572630	42	1.89
1086	575113	22	1.89
1087	575199	28	1.89
1088	575418	124	1.89
1089	575733	67	1.89
1090	575857	28	1.89
1091	575984	37	1.89
1092	576359	39	1.89
1093	577248	43	1.89
1094	577531	27	1.89
1095	577822	79	1.90
1096	577916	50	1.90
1097	578210	122	1.90
1098	578384	46	1.90
1099	578903	60	1.90
1100	579536	75	1.90
1101	580594	22	1.90
1102	581753	20	1.89
1103	583070	103	1.89
1104	583104	43	1.89
1105	583818	33	1.89
1106	584781	23	1.89
1107	585160	24	1.89
1108	585490	43	1.89
1109	585793	47	1.89
1110	586142	29	1.89
1111	586648	107	1.89
1112	586947	46	1.89
1113	587260	26	1.90
1114	588488	25	1.89
1115	589840	21	1.89
1116	590586	22	1.89
1117	590686	45	1.89
1118	591055	20	1.89
1119	591164	51	1.89
1120	591228	217	1.89
1121	591467	42	1.90
1122	591641	20	1.90
1123	591722	36	1.90
1124	593878	24	1.89
1125	594002	23	1.89
1126	594331	44	1.89
1127	594646	29	1.90
1128	594889	26	1.90
1129	595185	88	1.90
1130	595408	42	1.90
1131	596451	21	1.90
1132	596910	35	1.90
1133	598046	20	1.89
1134	598637	37	1.89
1135	599355	20	1.89
1136	599499	42	1.89
1137	601146	38	1.89
1138	601358	54	1.89
1139	601402	47	1.89
1140	601575	43	1.90
1141	601764	25	1.90
1142	601850	80	1.90
1143	601864	83	1.90
1144	602004	62	1.90
1145	602080	21	1.90
1146	602139	38	1.90
1147	602234	23	1.90
1148	602495	39	1.91
1149	602963	25	1.91
1150	603879	33	1.90
1151	603932	99	1.91
1152	604733	20	1.90
1153	604805	41	1.91
1154	604906	24	1.91
1155	605077	63	1.91
1156	605691	25	1.91
1157	606570	29	1.91
1158	606734	25	1.91
1159	607385	23	1.91
1160	608709	23	1.91
1161	608768	35	1.91
1162	609786	104	1.91
1163	609829	85	1.91
1164	609928	41	1.91
1165	610033	91	1.91
1166	610706	39	1.91
1167	610825	125	1.91
1168	611155	37	1.91
1169	611910	42	1.91
1170	612644	21	1.91
1171	612922	32	1.91
1172	613191	29	1.91
1173	614307	81	1.91
1174	614528	75	1.91
1175	615481	52	1.91
1176	615661	52	1.91
1177	616055	28	1.91
1178	616724	20	1.91
1179	616988	33	1.91
1180	617731	20	1.91
1181	617914	21	1.91
1182	619204	98	1.91
1183	620185	71	1.91
1184	621180	27	1.91
1185	621978	74	1.91
1186	621992	56	1.91
1187	622005	43	1.91
1188	622315	51	1.91
1189	624538	103	1.90
1190	624573	32	1.91
1191	624942	112	1.91
1192	625137	38	1.91
1193	625600	87	1.91
1194	626404	22	1.91
1195	626946	38	1.91
1196	628374	75	1.90
1197	628450	67	1.90
1198	628875	40	1.90
1199	628926	28	1.91
1200	629293	20	1.91
1201	629354	38	1.91
1202	629795	50	1.91
1203	630147	29	1.91
1204	630606	26	1.91
1205	630644	39	1.91
1206	631210	28	1.91
1207	632647	40	1.91
1208	633641	51	1.91
1209	635226	155	1.90
1210	636101	36	1.90
1211	636766	33	1.90
1212	636816	41	1.90
1213	637172	25	1.90
1214	637426	23	1.90
1215	638660	44	1.90
1216	638771	26	1.90
1217	640013	65	1.90
1218	642226	22	1.90
1219	642477	25	1.90
1220	642580	29	1.90
1221	642625	162	1.90
1222	642987	38	1.90
1223	643768	73	1.90
1224	644026	23	1.90
1225	644577	35	1.90
1226	645261	23	1.90
1227	645468	37	1.90
1228	645796	28	1.90
1229	646375	22	1.90
1230	646636	90	1.90
1231	646657	133	1.90
1232	647061	41	1.90
1233	647438	84	1.90
1234	648170	30	1.90
1235	648191	27	1.91
1236	648407	28	1.91
1237	649309	31	1.91
1238	649605	26	1.91
1239	650447	22	1.90
